Page, Total Adds
page_1, 32
ID, Title, Price, ProductionYear, Mileage, Power, Fuel, Link
6094813037,Mercedes-Benz ACTROS,48 000 EUR,2018,529 843 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-benz-actros-1845-ID6Etdi5.html
6099545576,Mercedes-Benz Actros 1842,99 000 PLN,2015,1 120 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1842-actros-1842-eurovi-z-transportu-miedzynarodowego-ID6EN4rm.html
6099022243,Mercedes-Benz ACTROS MP4,76 000 PLN,2014,850 000 km,10 677 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp4-ID6EKSiw.html
6099018189,Mercedes-Benz Actros 1845 Bigspace Lowdeck,59 900 EUR,2019,376 365 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-bigspace-lowdeck-ID6EKRf7.html
6099867112,Mercedes-Benz Actros,212 000 PLN,2017,607 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-actros-mp4-450-big-space-standard-2017-cesja-ID6EOq5q.html
6099451962,Mercedes-Benz ACTROS,135 000 PLN,2016,698 200 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-benz-ciagnik-siodlowy-1848-lsnrl-rok-2016-euro-6-mega-ID6EMG5s.html
6099004126,Mercedes-Benz ACTROS / 1845 / ACC / MP 4 / EURO 6 / STREAM  SPACE,248 000 PLN,2017,410 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-acc-mp-4-euro-6-stream-space-ID6EKNAi.html
6094399076,Mercedes-Benz ACTROS 1845 2015 EURO 6_STANDARD_SALON PL_ŁADNY,115 000 PLN,2015,1 100 000 km,999 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-2015-euro-6-standard-salon-pl-ladny-ID6ErtBi.html
6094303993,Mercedes-Benz ACTROS MP4 1845 2014/15 EURO 6_AUTOMAT_STANDARD_ŁADNY,115 000 PLN,2014,833 000 km,999 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp4-1845-2014-15-euro-6-automat-standard-ladny-ID6Er4RH.html
6094065233,Mercedes-Benz ACTROS 1845 E6 12.2015_NOWE OPONY_SALON PL_ZADBANY !! STANDARD!!,132 000 PLN,2015,924 000 km,999 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-e6-12-2015-nowe-opony-salon-pl-zadbany-standard-ID6Eq4KJ.html
6099108340,Mercedes-Benz Actros 1845,55 000 EUR,2018,519 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-bigspace-lowdec-bez-retardera-po-serwisie-klima-ID6ELeHa.html
6099863896,Mercedes-Benz ACTROS MP4,65 000 PLN,2015,823 000 km,480 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mp4-mercedes-actros-mp4-2015-rok-480-standard-ID6EOpfy.html
6098226642,Mercedes-Benz Actros 1845 LS,64 500 EUR,2018,458 852 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1845-ls-bez-retardera-ID6EHxke.html
6099403969,Mercedes-Benz ACTROS 1848 LS STANDART GIGA SPACE,79 999 EUR,2019,364 000 km,12 809 cm3,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-1848-ls-standart-giga-space-actrosgiga-space480-km-ID6EMtBn.html
6099352670,Mercedes-Benz Actros,20 500 EUR,2014,1 100 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-1845-euro6-2014r-big-space-ID6EMgfY.html
6099166325,Mercedes-Benz Actros,17 900 EUR,2014,1 070 000 km,,Diesel, https://www.otomoto.pl/oferta/mercedes-benz-actros-mercedes-actros-1845-space-cab-ID6ELtMp.html
